planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
GJ 3090 b,NIRISS / SOSS,-,GR700XD,Transit,2,2,4098,0,2.13,3.34,2.8531054,0.03165,693.0,GJ 3090,1.0,1.0,22.4751,3556.0,0.52,0.52,-1.342,,1.468
GJ 3470 b,NIRCam / GTS,F444W,GRISM,Transit,1,1,1185,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3470 b,NIRCam / GTS,F444W,GRISM,Transit,1,1,1185,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,1,1,1201,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,4536,0,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3473 b,MIRI / Imaging,F1500W,-,Eclipse,4,2,3730,0,1.264,1.86,1.1980035,0.01589,773.0,GJ 3473,2.0,2.0,27.3644,3347.0,0.36,0.36,-1.824,,2.0
GJ 357 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2512,0,1.2,1.84,3.9306,0.036,518.0,GJ 357,3.0,1.0,9.44181,3505.0,0.34,0.34,-1.798,,2.0
GJ 357 b,MIRI / Imaging,F1500W,-,Eclipse,1,2,3730,0,1.2,1.84,3.9306,0.036,518.0,GJ 357,3.0,1.0,9.44181,3505.0,0.34,0.34,-1.798,,2.0
GJ 367 b,MIRI / LRS,-,-,Phase Curve,1,1,2508,12,0.699,0.633,0.3219225,0.00709,1365.0,GJ 367,3.0,1.0,9.41263,3522.0,0.46,0.46,-1.539,,
GJ 436 b,MIRI / LRS,-,-,Eclipse,2,1,1177,12,4.17,22.1,2.64388312,0.0291,686.0,GJ 436,1.0,1.0,9.75321,3586.11,0.46,0.47,-1.585,6.0,0.33
GJ 436 b,NIRCam / GTS,F322W2,GRISM,Eclipse,3,1,1185,12,4.17,22.1,2.64388312,0.0291,686.0,GJ 436,1.0,1.0,9.75321,3586.11,0.46,0.47,-1.585,6.0,0.33
GJ 436 b,NIRCam / GTS,F444W,GRISM,Eclipse,3,1,1185,12,4.17,22.1,2.64388312,0.0291,686.0,GJ 436,1.0,1.0,9.75321,3586.11,0.46,0.47,-1.585,6.0,0.33
GJ 486 b,MIRI / LRS,-,-,Eclipse,2,1,1743,12,1.289,2.77,1.46712127,0.01714,696.3,GJ 486,1.0,1.0,8.07426,3317.0,0.32,0.31,-1.939,4.0,2.0
GJ 486 b,NIRSpec / BOTS,F290LP,G395H,Transit,2,1,1981,0,1.289,2.77,1.46712127,0.01714,696.3,GJ 486,1.0,1.0,8.07426,3317.0,0.32,0.31,-1.939,4.0,2.0
GJ 486 b,NIRISS / SOSS,-,GR700XD,Transit,3,3,5866,12,1.289,2.77,1.46712127,0.01714,696.3,GJ 486,1.0,1.0,8.07426,3317.0,0.32,0.31,-1.939,4.0,2.0
GJ 806 b,MIRI /LRS,-,SLITLESS,Eclipse,3,3,4931,12,1.331,1.9,0.9263237,0.01406,940.0,GJ 806,2.0,1.0,12.0445,3600.0,0.41,0.41,-1.585,5.0,2.0
GJ 9827 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.44,4.28,1.208974,0.0189,1035.01,GJ 9827,3.0,1.0,29.661,4236.0,0.6,0.61,-0.942,5.465,1.5
GJ 9827 d,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4098,0,1.98,3.02,6.20183,0.053,675.0,GJ 9827,3.0,1.0,29.661,4236.0,0.6,0.61,-1.004,5.465,1.5
GJ 9827 d,NIRISS / SOSS,-,GR700XD,Transit,2,2,4098,0,1.98,3.02,6.20183,0.053,675.0,GJ 9827,3.0,1.0,29.661,4236.0,0.6,0.61,-1.004,5.465,1.5
HAT-P-1 b,NIRISS / SOSS,-,GR700XD,Transit,1,1,1201,12,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1.0,2.0,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-1 b,NIRISS / SOSS,-,GR700XD,Eclipse,1,1,1201,12,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1.0,2.0,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-1 b,MIRI / LRS,-,-,Transit,1,2,2950,12,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1.0,2.0,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-1 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5924,0,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1.0,2.0,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-11 b,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4105,12,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2.0,1.0,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-11 b,MIRI / LRS,-,-,Transit,1,2,2950,12,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2.0,1.0,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-11 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2.0,1.0,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-12 b,MIRI / LRS,-,-,Transit,1,1,1281,12,10.749,67.059,3.2130598,0.0384,963.0,HAT-P-12,1.0,1.0,142.751,4650.0,0.7,0.73,-0.678,2.5,0.5
HAT-P-12 b,NIRISS / SOSS,-,GR700XD,Transit,1,1,1281,12,10.749,67.059,3.2130598,0.0384,963.0,HAT-P-12,1.0,1.0,142.751,4650.0,0.7,0.73,-0.678,2.5,0.5
HAT-P-12 b,NIRSpec / BOTS,F290LP,G395M,Transit,1,1,1281,12,10.749,67.059,3.2130598,0.0384,963.0,HAT-P-12,1.0,1.0,142.751,4650.0,0.7,0.73,-0.678,2.5,0.5
HAT-P-12 b,MIRI / LRS,-, FIXEDSLIT,Calibration,1,3,6219,0,10.749,67.059,3.2130598,0.0384,963.0,HAT-P-12,1.0,1.0,142.751,4650.0,0.7,0.73,-0.678,2.5,0.5
HAT-P-18 b,NIRSpec / BOTS,F290LP,G395M,Transit,2,3,5844,12,11.153,62.61,5.508023,0.0559,852.0,HAT-P-18,1.0,1.0,161.4,4803.0,0.75,0.77,-0.569,12.4,0.5
HAT-P-18 b,MIRI / LRS,-,SLITLESS,Transit,1,3,5844,12,11.153,62.61,5.508023,0.0559,852.0,HAT-P-18,1.0,1.0,161.4,4803.0,0.75,0.77,-0.569,12.4,0.5
HAT-P-26 b,MIRI / LRS,-,-,Transit,1,1,1177,12,7.062,22.2481,4.23452,0.0479,1001.0,HAT-P-26,1.0,1.0,141.837,5079.0,0.87,1.12,-0.359,9.0,1.8
HAT-P-26 b,MIRI / LRS,-,-,Eclipse,1,1,1312,12,7.062,22.2481,4.23452,0.0479,1001.0,HAT-P-26,1.0,1.0,141.837,5079.0,0.87,1.12,-0.359,9.0,1.8
HAT-P-26 b,NIRISS / SOSS,-,GR700XD,Transit,1,1,1312,12,7.062,22.2481,4.23452,0.0479,1001.0,HAT-P-26,1.0,1.0,141.837,5079.0,0.87,1.12,-0.359,9.0,1.8
HAT-P-26 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,1312,12,7.062,22.2481,4.23452,0.0479,1001.0,HAT-P-26,1.0,1.0,141.837,5079.0,0.87,1.12,-0.359,9.0,1.8
HAT-P-26 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,1,1,1312,12,7.062,22.2481,4.23452,0.0479,1001.0,HAT-P-26,1.0,1.0,141.837,5079.0,0.87,1.12,-0.359,9.0,1.8
HAT-P-30 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,16.141,263.7989,2.8106,0.0419,1630.0,HAT-P-30,1.0,2.0,213.985,6304.0,1.31,1.55,0.312,1.0,2.2
HAT-P-30 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,16.141,263.7989,2.8106,0.0419,1630.0,HAT-P-30,1.0,2.0,213.985,6304.0,1.31,1.55,0.312,1.0,2.2
HAT-P-65 b,NIRSpec / BOTS,CLEAR,PRISM,Transit ,2,2,3969,12,18.058,176.07694,2.60544751,0.04042,1818.0,HAT-P-65,1.0,1.0,738.519,5872.0,1.67,1.3,0.473,3.9,7.1
HATS-6 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3171,0,11.187,101.38777,3.3252725,0.03623,712.8,HATS-6,1.0,1.0,169.318,3724.0,0.57,0.57,-1.1,8.1,
HATS-72 b,NIRISS / SOSS,-,GR700XD,Transit,1,1,2594,12,8.097,39.85588,7.3279474,0.066517,739.3,HATS-72,1.0,1.0,127.589,4656.1,0.72,0.73,-0.659,12.17,0.8
HATS-72 b,NIRSpec / BOTS,F290LP,G395M,Transit,1,1,2594,12,8.097,39.85588,7.3279474,0.066517,739.3,HATS-72,1.0,1.0,127.589,4656.1,0.72,0.73,-0.659,12.17,0.8
HATS-72 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5924,0,8.097,39.85588,7.3279474,0.066517,739.3,HATS-72,1.0,1.0,127.589,4656.1,0.72,0.73,-0.659,12.17,0.8
HATS-75 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,3,2,3171,0,9.909,156.05375,2.7886556,0.032742,772.3,HATS-75,1.0,1.0,194.964,3790.4,0.58,0.6,-1.197,14.9,
HD 106315 c,MIRI / LRS,-,-,Transit,1,2,2950,12,4.35,15.2,21.05704,0.1536,886.0,HD 106315,2.0,1.0,109.353,6327.0,1.29,1.07,0.388,4.48,13.0
HD 149026 b,NIRCam / GTS,F444W,GRISM,Eclipse,1,1,1274,12,8.295,120.7754,2.87589,0.04364,1626.0,HD 149026,1.0,1.0,75.8643,6179.0,1.41,1.42,0.48,2.6,6.0
HD 149026 b,NIRCam / GTS,F322W2,GRISM,Eclipse,1,1,1274,12,8.295,120.7754,2.87589,0.04364,1626.0,HD 149026,1.0,1.0,75.8643,6179.0,1.41,1.42,0.48,2.6,6.0
HD 15337 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2512,0,1.64,7.51,4.75615,0.0522,1001.0,HD 15337,2.0,1.0,44.8155,5125.0,0.86,0.9,-0.326,5.1,1.0
HD 15337 c,NIRSpec / BOTS,F290LP,G395H,Transit,2,1,2512,0,2.39,8.11,17.1784,0.1268,642.0,HD 15337,2.0,1.0,44.8155,5125.0,0.86,0.9,-0.326,5.1,1.0
HD 189733 b,NIRCam / GTS,F444W,GRISM,Eclipse,1,1,1185,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,NIRCam / GTS,F322W2,GRISM,Eclipse,1,1,1274,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,MIRI / MRS,SHORT,-,Transit,1,1,1633,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,MIRI / MRS,MEDIUM,-,Transit,1,1,1633,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,MIRI / MRS,LONG,-,Transit,1,1,1633,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,NIRCam / GTS,F322W2,GRISM,Transit,1,1,1633,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,NIRCam / GTS,F444W,GRISM,Transit,1,1,1633,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,MIRI / LRS,-,-,Transit,1,1,2001,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 189733 b,MIRI / LRS,-,-,Eclipse,2,1,2021,12,12.666,359.1479,2.21857567,0.03126,1209.0,HD 189733,1.0,2.0,19.7638,5052.0,0.75,0.83,-0.46,1.4,3.5
HD 20329 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.72,7.42,0.926118,0.018,2141.0,HD 20329,1.0,1.0,63.6796,5596.0,1.13,0.9,0.049,11.0,3.5
HD 207496 b,NIRCam / GTS,F322W2,GRISM-R,Transit,1,3,6284,12,2.25,6.1,6.441008,0.0629,743.0,HD 207496,1.0,1.0,23.606,4819.0,0.77,0.8,-0.509,0.52,
HD 207496 b,NIRCam / GTS,F444W,GRISM-R,Transit,1,3,6284,12,2.25,6.1,6.441008,0.0629,743.0,HD 207496,1.0,1.0,23.606,4819.0,0.77,0.8,-0.509,0.52,
HD 209458 b,NIRCam / GTS,F322W2,GRISM,Eclipse,1,1,1274,12,15.581,232.0159,3.52474859,0.04707,1459.0,HD 209458,1.0,1.0,48.3016,6091.0,1.18,1.13,0.232,3.1,4.4
HD 209458 b,NIRCam / GTS,F444W,GRISM,Eclipse,1,1,1274,12,15.581,232.0159,3.52474859,0.04707,1459.0,HD 209458,1.0,1.0,48.3016,6091.0,1.18,1.13,0.232,3.1,4.4
HD 209458 b,MIRI / LRS,-,-,Transit,1,1,2667,12,15.581,232.0159,3.52474859,0.04707,1459.0,HD 209458,1.0,1.0,48.3016,6091.0,1.18,1.13,0.232,3.1,4.4
HD 260655 b,MIRI / Imaging,F1500W,,Eclipse,2,2,3730,0,1.24,2.14,2.76953,0.02933,709.0,HD 260655,2.0,1.0,10.0055,3803.0,0.44,0.44,-1.44,5.0,2.0
HD 3167 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.67,4.97,0.959641,0.01796,1774.0,HD 3167,4.0,1.0,47.2899,5261.0,0.88,0.84,-0.27,7.8,1.8
HD 80606 b,MIRI / LRS,-,-,Phase Curve,1,1,2008,12,11.994,1392.0954,111.4367,0.4565,405.0,HD 80606,1.0,2.0,66.4711,5561.0,1.04,1.15,-0.002,5.9,1.8
HD 80606 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,1,1,2488,12,11.994,1392.0954,111.4367,0.4565,405.0,HD 80606,1.0,2.0,66.4711,5561.0,1.04,1.15,-0.002,5.9,1.8
HIP 67522 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2498,12,9.987,71.4,6.9594731,0.0748,1175.0,HIP 67522,2.0,1.0,127.28,5675.0,1.38,1.22,0.243,0.017,54.2
K2-141 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,1,2159,12,1.51,4.97,0.2803244,0.00747,2103.0,K2-141,2.0,1.0,61.8736,4570.0,0.68,0.71,-0.75,6.3,3.0
K2-141 b,MIRI / LRS,-,-,Phase Curve,1,1,2347,12,1.51,4.97,0.2803244,0.00747,2103.0,K2-141,2.0,1.0,61.8736,4570.0,0.68,0.71,-0.75,6.3,3.0
K2-18 b,NIRSpec / BOTS,F290LP,G395H,Transit,4,1,2372,12,2.37,8.92,32.939623,0.1429,284.0,K2-18,2.0,1.0,38.0266,3457.0,0.44,0.5,-1.597,,
K2-18 b,NIRSpec / BOTS,F170LP,G235H,Transit,2,1,2372,12,2.37,8.92,32.939623,0.1429,284.0,K2-18,2.0,1.0,38.0266,3457.0,0.44,0.5,-1.597,,
K2-18 b,MIRI / LRS,-,-,Transit,1,1,2722,12,2.37,8.92,32.939623,0.1429,284.0,K2-18,2.0,1.0,38.0266,3457.0,0.44,0.5,-1.597,,
K2-18 b,NIRISS / SOSS,-,GR700XD,Transit,1,1,2722,12,2.37,8.92,32.939623,0.1429,284.0,K2-18,2.0,1.0,38.0266,3457.0,0.44,0.5,-1.597,,
K2-18 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2722,12,2.37,8.92,32.939623,0.1429,284.0,K2-18,2.0,1.0,38.0266,3457.0,0.44,0.5,-1.597,,
K2-22 b,MIRI / LRS,-,-,Transit,2,2,3315,12,2.3,444.962,0.381073,0.009,2100.0,K2-22,1.0,2.0,243.836,3879.0,0.58,0.6,-1.074,,
K2-22 b,MIRI / LRS,-,-,Phase Curve,1,2,3315,12,2.3,444.962,0.381073,0.009,2100.0,K2-22,1.0,2.0,243.836,3879.0,0.58,0.6,-1.074,,
KELT-7 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,17.934,441.7837,2.73477,0.04415,2048.0,KELT-7,1.0,1.0,136.681,6768.0,1.73,1.54,0.757,1.3,69.3
KELT-7 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,17.934,441.7837,2.73477,0.04415,2048.0,KELT-7,1.0,1.0,136.681,6768.0,1.73,1.54,0.757,1.3,69.3
KELT-8 b,MIRI / LRS,- ,SLITLESS,Eclipse,2,3,5687,12,18.159,209.7678,3.24406,0.0455,1675.0,KELT-8,1.0,1.0,197.572,5754.0,1.46,0.81,0.265,5.4,3.7
Kepler-12 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3969,12,19.661,137.30256,4.4379629,0.0553,1480.0,Kepler-12,1.0,1.0,881.386,5947.0,1.48,1.17,0.449,4.0,0.8
Kepler-51 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,1,2454,12,7.1,2.1,45.154,0.2514,543.0,Kepler-51,4.0,1.0,783.831,6018.0,0.94,1.04,-0.142,0.3,
Kepler-51 d,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,1,2571,12,9.7,7.6,130.194,0.509,381.0,Kepler-51,4.0,1.0,783.831,6018.0,0.94,1.04,-0.142,0.3,
L 168-9 b,NIRSpec / BOTS,F290LP,G395H,Transit,3,1,2512,0,1.63,4.07,1.40152604,0.0208,998.0,L 168-9,1.0,1.0,25.1496,3842.0,0.6,0.59,-1.097,,
L 98-59 b,NIRSpec / BOTS,F290LP,G395H,Transit,4,2,3942,12,0.85,0.4,2.2531136,0.02191,627.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 c,NIRISS / SOSS,-,GR700XD,Transit,1,1,1201,12,1.385,2.22,3.6906777,0.0304,553.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 c,NIRSpec / BOTS,F290LP,G395H,Transit,2,1,2512,0,1.385,2.22,3.6906777,0.0304,553.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 c,MIRI / Imaging,F1500W,-,Eclipse,1,2,3730,0,1.385,2.22,3.6906777,0.0304,553.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRISS / SOSS,-,GR700XD,Transit,1,1,1201,12,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,1224,12,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,4098,0,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRISS / SOSS,-,GR700XD,Transit,1,2,4098,0,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4.0,1.0,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
LHS 1140 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2334,12,1.73,5.6,24.73723,0.0946,226.0,LHS 1140,2.0,1.0,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1140 b,NIRSpec / BOTS,F170LP,G235H,Transit,1,1,2334,12,1.73,5.6,24.73723,0.0946,226.0,LHS 1140,2.0,1.0,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1140 b,NIRISS / SOSS,-,GR700XD,Transit,2,2,6543,0,1.73,5.6,24.73723,0.0946,226.0,LHS 1140,2.0,1.0,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1140 c,MIRI / Imaging,F1500W,-,Eclipse,3,2,3730,0,1.272,1.91,3.77794,0.027,422.0,LHS 1140,2.0,1.0,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1478 b,MIRI / Imaging,F1500W,-,Eclipse,2,2,3730,0,1.242,2.33,1.9495378,0.01848,595.0,LHS 1478,1.0,1.0,18.2276,3381.0,0.25,0.24,-2.146,,2.0
LHS 3844 b,MIRI / LRS,-,-,Eclipse,3,1,1846,12,1.303,2.25,0.46292913,0.00622,805.0,LHS 3844,1.0,1.0,14.8846,3036.0,0.19,0.15,-2.565,,
LHS 3844 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,2,4008,12,1.303,2.25,0.46292913,0.00622,805.0,LHS 3844,1.0,1.0,14.8846,3036.0,0.19,0.15,-2.565,,
LHS 475 b,NIRSpec / BOTS,F290LP,G395H,Transit,3,1,1981,0,0.991,0.941,2.029088,0.02037,586.0,LHS 475,1.0,1.0,12.4814,3300.0,0.28,0.26,-2.064,,
LP 791-18 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,1,1201,12,1.212,1.94,0.9479981,0.00978,564.3,LP 791-18,3.0,1.0,26.4927,2960.0,0.18,0.14,-2.638,0.5,2.0
LP 791-18 d,MIRI / Imaging,F1550W,-,Eclipse,5,3,6457,12,1.032,0.9,2.753436,0.01992,395.5,LP 791-18,3.0,1.0,26.4927,2960.0,0.18,0.14,-2.638,0.5,2.0
LTT 1445 A b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,2512,0,1.18,2.73,5.35876,0.022,555.0,LTT 1445 A,2.0,3.0,6.86929,3340.0,0.27,0.26,-2.046,,3.4
LTT 1445 A b,MIRI / LRS,-,-,Eclipse,3,1,2708,12,1.18,2.73,5.35876,0.022,555.0,LTT 1445 A,2.0,3.0,6.86929,3340.0,0.27,0.26,-2.046,,3.4
LTT 3780 b,MIRI / Imaging,F1500W,-,Eclipse,2,2,3730,0,1.325,2.46,0.76837931,0.01195,903.0,LTT 3780,2.0,2.0,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2.0,2.0,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,NIRISS / SOSS,-,GR700XD,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2.0,2.0,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,MIRI / LRS,-,-,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2.0,2.0,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 9779 b,NIRISS / SOSS,-,GR700XD,Phase Curve,1,1,1201,12,4.72,29.32,0.792052,0.01679,1978.0,LTT 9779,1.0,1.0,80.4373,5443.0,0.95,0.77,-0.149,1.9,1.06
LTT 9779 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,2,3231,12,4.72,29.32,0.792052,0.01679,1978.0,LTT 9779,1.0,1.0,80.4373,5443.0,0.95,0.77,-0.149,1.9,1.06
NGTS-10 b,NIRSpec / BOTS,CLEAR,PRISM,Phase Curve,1,1,2158,12,13.507,687.14846,0.7668944,0.0143,1332.0,NGTS-10,1.0,1.0,324.6986504,4600.0,0.7,0.7,-0.757,10.4,4.0
NGTS-2 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,17.878,235.1942,4.511164,0.063,1468.0,NGTS-2,1.0,1.0,356.391,6478.0,1.7,1.64,0.631,2.17,15.2
NGTS-2 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,17.878,235.1942,4.511164,0.063,1468.0,NGTS-2,1.0,1.0,356.391,6478.0,1.7,1.64,0.631,2.17,15.2
